,Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
0,GLYZNS10,1971,1.3659999999999999,0.218,73.87,0.145,3.02,4.41,1.46,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[3.0-3.3),[4.4-4.5),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GLYZNS10
1,MGCITD,1971,1.253,0.314,113.33,0.22699999999999998,3.49,4.53,1.298,1D,[1.2-1.3),[0.3-0.4),[100-150),[0.2-0.3),[3.3-3.6),[4.5-4.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MGCITD
2,MNCITD,1973,1.3659999999999999,0.303,113.92,0.20800000000000002,3.5,4.66,1.331,1D,[1.3-1.4),[0.3-0.4),[100-150),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MNCITD
3,NICHOC10,1973,0.983,0.51,997.71,0.536,4.54,6.05,1.3330000000000002,1D,[0.8-1.0),[0.5-0.6),[800-1000),[0.5-0.6),[4.5-5.0),[6.0-6.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NICHOC10
4,PAZHGN,1975,6.041,0.602,24.41,0.07,2.77,4.35,1.57,1D,[2.0-7.0],[0.6-0.7),[0-50),[0.0-0.1),[2.6-3.0),[4.3-4.4),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAZHGN
5,ETUZNT,1975,0.94,0.5710000000000001,1033.27,0.556,3.94,5.11,1.297,2D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.5-0.6),[3.8-4.0),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ETUZNT
6,PYRCOC01,1975,0.8690000000000001,0.664,2269.77,0.708,9.86,9.98,1.012,1D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PYRCOC01
7,IMZYCO,1976,1.51,0.066,4.31,0.031,1.27,4.14,3.26,3D,[1.5-1.6),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IMZYCO
8,DODNCU,1976,0.7909999999999999,0.4,511.5,0.408,2.59,5.75,2.22,2D,[0.6-0.8),[0.3-0.4),[500-600),[0.4-0.5),[2.2-2.6),[5.6-6.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DODNCU
9,ACUFUR,1976,1.1440000000000001,0.331,100.4,0.344,2.92,4.27,1.462,1D,[1.1-1.2),[0.3-0.4),[100-150),[0.3-0.4),[2.6-3.0),[4.2-4.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACUFUR
